# vx vy dx
9.344649874060198158e+01 7.997711764962942027e+01 1.522271385677026956e+03
5.712382332042236044e+01 6.891441775176488704e+01 7.978637585833241701e+02
7.744634081676488790e+01 9.585328442185959830e+01 1.518739837723590654e+03
6.786619828888224504e+01 8.231324534205528209e+01 1.139414302495332322e+03
7.828324145352874552e+01 6.995970464882326212e+01 1.116112030505697703e+03
7.712736604459695400e+01 8.057569241685703787e+01 1.278206611406880938e+03
8.168965861966687214e+01 1.117117815228535420e+02 1.865348242008765055e+03
8.921745803041923750e+01 9.287119703628675893e+01 1.686231654006940971e+03
6.247966661871880945e+01 8.918717897103616110e+01 1.131138326240965625e+03
8.700192497564223970e+01 7.079376507489624260e+01 1.252634148712970955e+03
8.253883201228116206e+01 1.038681600322516232e+02 1.747866927222290315e+03
9.354221708664802293e+01 7.466296895874098993e+01 1.435416037285360972e+03
7.407081238359883457e+01 1.015223301688392041e+02 1.560672572474690924e+03
9.851938482598278313e+01 8.855875296813835007e+01 1.775564316323753928e+03
8.371873931008221348e+01 9.617628809434597770e+01 1.626541753472503842e+03
7.321870054411397177e+01 9.935280137750392271e+01 1.477000920308140394e+03
7.233455732611002986e+01 6.109934643519802933e+01 8.903482347182402918e+02
7.561408125072472330e+01 6.231921287889728944e+01 9.658522754234523973e+02
8.569838390722372878e+01 7.477762691064377520e+01 1.306239938582238437e+03
9.087762079668870285e+01 8.230448555483594930e+01 1.531655859235725302e+03
7.612082125707516411e+01 9.552933788230970436e+01 1.488910116126885214e+03
9.868026678437243504e+01 7.538397507601295899e+01 1.521313822109167631e+03
7.678150647673174944e+01 1.061558764188596626e+02 1.668271883518174491e+03
5.120171215587704694e+01 7.416862259660494772e+01 7.687710604152164251e+02
6.249097619025305761e+01 9.215948604868140137e+01 1.168755429046872905e+03
5.748515556804345294e+01 8.860530775405338488e+01 1.048982292633437737e+03
7.336718482679128783e+01 6.583318442490154609e+01 9.938967214187092623e+02
8.587730501181809473e+01 7.855364830823039313e+01 1.372764504537359244e+03
6.958882054572538323e+01 8.111827426160768084e+01 1.154930027736519605e+03
9.314928246507136578e+01 6.932967911587584808e+01 1.307389120264941539e+03
7.654051387738405765e+01 7.531939315334757623e+01 1.182059060759421072e+03
9.936882123842846681e+01 6.473776123248808290e+01 1.314986316718009675e+03
8.480748361670916324e+01 8.612529755665460129e+01 1.501523914407804341e+03
7.420069253917850460e+01 9.870419872355058999e+01 1.499559311323606607e+03
1.031347470386581051e+02 6.682704124264893153e+01 1.416741786691330162e+03
8.892755223991895264e+01 6.807284810583392698e+01 1.235674637486403981e+03
7.017996638075977955e+01 1.073355253623015528e+02 1.550540198285561928e+03
6.519552296139460168e+01 6.341316118223403464e+01 8.449668940826375092e+02
8.305258196789110059e+01 8.971926091794317415e+01 1.527915305514181000e+03
6.677670160081689232e+01 9.155030812234551263e+01 1.238039165781008933e+03
6.929869037563690881e+01 5.896567734558610852e+01 8.530709572402424783e+02
5.509791655310827707e+01 5.599771497572521639e+01 6.483752788400512372e+02
9.127064953527292346e+01 7.979570588362417993e+01 1.478088408714779689e+03
7.495046856476295716e+01 6.203824084194592103e+01 9.303657614409520420e+02
8.634702913959071680e+01 8.402960464998992052e+01 1.468312536455406644e+03
8.825968146643863577e+01 1.192809033812429078e+02 2.143882165404268108e+03
7.840015302349780768e+01 6.610345173518651052e+01 1.064483723394191202e+03
7.965543861368811918e+01 7.919825318368998524e+01 1.283221275471707258e+03
8.310986856935721789e+01 7.824737006642986614e+01 1.315809492801009128e+03
7.294484258269297072e+01 7.156908739742493708e+01 1.060885394826770153e+03
8.675888273263574035e+01 7.946624949804626681e+01 1.411581942652063617e+03
8.269214888987140455e+01 7.502239597991417952e+01 1.261291601158843605e+03
5.137225298541731888e+01 7.691600559157696182e+01 8.063504686027793014e+02
7.346173589119716496e+01 9.501629299327564127e+01 1.436093611612590848e+03
3.537727180152868556e+01 5.713883424743670503e+01 4.047439916554565684e+02
1.166773213945950545e+02 6.479709938076641151e+01 1.535124554383812210e+03
7.241218913047352146e+01 1.048705153037469557e+02 1.548304994075409695e+03
1.048365571187466116e+02 1.027788780948224741e+02 2.185849725127787679e+03
6.904385025840176127e+01 6.727215591587339816e+01 9.306126294972219739e+02
8.625751124250325574e+01 6.852143284127789968e+01 1.202677158843001735e+03
7.506687363619046494e+01 8.123352535248916695e+01 1.249569302017892824e+03
7.664847373737177350e+01 5.901546387365377200e+01 9.141835372055159041e+02
6.332959145454177019e+01 9.221863491380084099e+01 1.183693271790303243e+03
9.926318484395696373e+01 8.307228050943810160e+01 1.679858114837936682e+03
7.640875025457675918e+01 7.940454186301516870e+01 1.231953544093301389e+03
9.355417720795419712e+01 8.485933522266024909e+01 1.619212928352654444e+03
8.646387751589467996e+01 8.448606318411209770e+01 1.490221184554057572e+03
7.512901011240931837e+01 4.936945768680165969e+01 7.689340601951931831e+02
9.914555964367220042e+01 7.411644262469172872e+01 1.497858875469654322e+03
7.354868581287490770e+01 8.452842685372529274e+01 1.268286401577153129e+03
6.800257158820035386e+01 5.617674406727059022e+01 7.745234439246133888e+02
7.518437497090297938e+01 6.794963640994349419e+01 1.055776631415304792e+03
9.281598523520167987e+01 8.640323274858560865e+01 1.631307987067519662e+03
5.717398745582806896e+01 6.528840553251026790e+01 7.664584988729046700e+02
9.204512831071663470e+01 5.804564492827114464e+01 1.086938124773884510e+03
8.548400225218648529e+01 7.774621849791876116e+01 1.351357582015916933e+03
7.967138802084072324e+01 8.558511307458147144e+01 1.380333298223208885e+03
7.296583689416706875e+01 7.169841172175048882e+01 1.066477126863200510e+03
7.581660896821659890e+01 7.672899002380869149e+01 1.177604857360888900e+03
1.043723796395607337e+02 4.669418609017721167e+01 9.775808871121470247e+02
7.577337623428944369e+01 7.891083244979731148e+01 1.233653142397638476e+03
8.160115201670262763e+01 7.077538280140990423e+01 1.157013513463782829e+03
7.960709314917896506e+01 5.730948048939779227e+01 9.212052086813768028e+02
9.352790938985764058e+01 8.219518737806851050e+01 1.568246594065340105e+03
1.001186503865638429e+02 1.076723922241503715e+02 2.193789550242227506e+03
8.117681151941955875e+01 6.415618235433311156e+01 1.068648130122873681e+03
7.992844806253886247e+01 9.152429719624943516e+01 1.504699768776778001e+03
6.125730401812320025e+01 8.548434525961708630e+01 1.075895538368747793e+03
8.880461081468536122e+01 9.033193895729110068e+01 1.631746361411104317e+03
5.884324323668570855e+01 6.783235148499539946e+01 8.014634630183675199e+02
7.962059257925741917e+01 8.515373821958154110e+01 1.385113326866388661e+03
8.750458023104118865e+01 4.024350567883200114e+01 7.160733067115857011e+02
7.739685949701110701e+01 1.132301595800365703e+02 1.787922915449802986e+03
6.079112774559189347e+01 8.012984946596326097e+01 1.010884394121286277e+03
9.387034991369702652e+01 7.936658466893722164e+01 1.526364206574581431e+03
8.931029313383278634e+01 6.618517430253893963e+01 1.201636129962446603e+03
6.161802564572771246e+01 7.505625225476465801e+01 9.545888598033179733e+02
5.933021789292368453e+01 7.171354524319103518e+01 8.746904937534534383e+02
2.485806633406039623e+01 7.113494535026238452e+01 3.459755377489523198e+02
9.487952831019748601e+01 8.425158026612102447e+01 1.629268116382756943e+03
7.526297769344461130e+01 7.690063343240743166e+01 1.176737717331239537e+03
7.062479227104179813e+01 9.088346880233751790e+01 1.291241456281797355e+03
8.445830105794701126e+01 7.142013103941280860e+01 1.242159640384398699e+03
6.904385077794395897e+01 7.479545115061070248e+01 1.053755776961336323e+03
1.030901765800557257e+02 9.532725451493195123e+01 2.006512198262812717e+03
9.538138565930643153e+01 6.906181659575922538e+01 1.344051302281834978e+03
4.309787949892963610e+01 7.864384266849525318e+01 6.741407847102116193e+02
6.346407884973757518e+01 8.722210763453254856e+01 1.110854825498691298e+03
8.643593220347932515e+01 7.025440405295030644e+01 1.260565308441492107e+03
1.080130114422296259e+02 8.734525985795728786e+01 1.928467857840838633e+03
8.441248115273815245e+01 8.118657056000238015e+01 1.390536863120185217e+03
9.513733113609856673e+01 9.169471724762448162e+01 1.803527246031121649e+03
7.759028325616660027e+01 6.747405591497233956e+01 1.066816944116944114e+03
6.050411684847537686e+01 7.293322400144926121e+01 9.049848631176927256e+02
9.715119697781361197e+01 7.314487658430306283e+01 1.443433210685017002e+03
6.752261322467980165e+01 1.088687821830480971e+02 1.509124710692583676e+03
7.791951735359347708e+01 8.857216409905092291e+01 1.401189760636981418e+03
6.786329248533735381e+01 1.013665701250942277e+02 1.409889979293908709e+03
6.442118944427048177e+01 6.180888870866150597e+01 8.218683873480346165e+02
9.193777368217679680e+01 8.539105936925751905e+01 1.605305535239574510e+03
5.518526908355502059e+01 8.992363639056100055e+01 1.006731432747954500e+03
6.379210386017896894e+01 7.169336750048563545e+01 9.493701951046591603e+02
7.398582922468426659e+01 5.886925328843365435e+01 9.085494265189831822e+02
9.390471419711209933e+01 4.864050920889916796e+01 9.293284441017115114e+02
7.653336650809926311e+01 8.965758004583379659e+01 1.401803056982705357e+03
7.484506506337568510e+01 9.918398930477424358e+01 1.514869849486949988e+03
1.016720870891767703e+02 8.583375266706417506e+01 1.776153769150833796e+03
9.370660050393370000e+01 5.249198567239741919e+01 9.985914909819587137e+02
8.802476005992289743e+01 5.746052549029898415e+01 1.036831629185134716e+03
8.190548840675046449e+01 8.603019671876936059e+01 1.454703937565546767e+03
7.653316498024818770e+01 6.505608659816546435e+01 1.015982695636090966e+03
7.224989310572182433e+01 6.240503465374170844e+01 9.351267027818660154e+02
7.028148463061228313e+01 9.184380258754475790e+01 1.320605972874919416e+03
6.683427984859467585e+01 8.193402921750660539e+01 1.116785258901902580e+03
9.012388442629104190e+01 8.499593242787787517e+01 1.560438086234581533e+03
9.616941998683374493e+01 7.728515480935101323e+01 1.497991341372675151e+03
8.797559444894125136e+01 8.182560071221593034e+01 1.453805218845170202e+03
5.895461082728100877e+01 7.902525978730879785e+01 9.515881876050308392e+02
1.130520904335849650e+02 8.165810702460133541e+01 1.866561892886659962e+03
5.582198807859802514e+01 1.158277430439806608e+02 1.313234831580065475e+03
9.084198976677267012e+01 7.956363534273000937e+01 1.462517772739400698e+03
7.992438266459203078e+01 1.045895291857103615e+02 1.694535617322520693e+03
7.263428436906228569e+01 7.718428173715979312e+01 1.135872842030018774e+03
8.529966287012955206e+01 9.382393310377563012e+01 1.627844533335392271e+03
6.691818975466220820e+01 6.568628415974035306e+01 9.039799960070384941e+02
7.162379756578589252e+01 7.722177907155008825e+01 1.137464785333198961e+03
8.425834734035879592e+01 5.840413136669153005e+01 9.972279862903416188e+02
7.388136664478727766e+01 9.222453292298069982e+01 1.382877516782364410e+03
9.106305453496456437e+01 7.868511598326365686e+01 1.461330233441850851e+03
6.696071638139024174e+01 1.150931658725866384e+02 1.569529290444582557e+03
6.641092633303755122e+01 6.592232426762913633e+01 9.053697236036382492e+02
8.314263180303490230e+01 5.502851267595899287e+01 9.295024196808152510e+02
7.078369989010406016e+01 5.599705258819384568e+01 8.030679373445653937e+02
8.882067043012997942e+01 1.079993390850113002e+02 1.946097061081787842e+03
9.190484034059940655e+01 8.868700315517364174e+01 1.653725863592968608e+03
7.097058419987257594e+01 1.089300492537471712e+02 1.575433649049158021e+03
9.788222669763310080e+01 1.029171953791706784e+02 2.049692237323116842e+03
4.898645806948751158e+01 8.218153093795143604e+01 8.323193080944960229e+02
8.877384513942298838e+01 3.265835573533171043e+01 5.749213459467820257e+02
8.234223936761995333e+01 1.026152825809271150e+02 1.721453814860340799e+03
8.275943340688539251e+01 6.068849278560343663e+01 1.054005619214275839e+03
7.356365480743711771e+01 6.554720027611671185e+01 9.882117700933861215e+02
7.519894208368822319e+01 8.161619977950323346e+01 1.266922517200614493e+03
8.901208023910065492e+01 7.203480671415802306e+01 1.306061367597045091e+03
8.329846112713224215e+01 8.721179705313359420e+01 1.480519719219392528e+03
4.533105789374550199e+01 7.153384105590325248e+01 6.658913432743296426e+02
1.127815762470460754e+02 8.364824109381144979e+01 1.935813232466097588e+03
9.263382314983141441e+01 5.958577563926635889e+01 1.129420847926886609e+03
7.960251813236382645e+01 7.899071260495659885e+01 1.280945306383789784e+03
8.378910055762125353e+01 4.620136820789329590e+01 7.998170954372524193e+02
8.493364921980487736e+01 8.073052011060460131e+01 1.385217018337028321e+03
8.730174345194807017e+01 8.795255286172861986e+01 1.565517878823255614e+03
8.569579183580984250e+01 5.896377699418981422e+01 1.022227413087506989e+03
8.040506329446250788e+01 9.838069582465121243e+01 1.625164898979764303e+03
9.994088739307684932e+01 8.205752594787269061e+01 1.679461095840730195e+03
9.460635462353832281e+01 7.879357561677353772e+01 1.529736761804307889e+03
6.181820130256950563e+01 9.459449948809488262e+01 1.164363229436529082e+03
5.570488527120367905e+01 6.705585833395920758e+01 7.553279202330269300e+02
5.575003656806043750e+01 8.652079311133446993e+01 9.855761630465939334e+02
7.528536461137296953e+01 8.566579211406705952e+01 1.324215727060479594e+03
1.048675205695659258e+02 9.488356422365777121e+01 2.034113705916634899e+03
9.885924441746797697e+01 8.089073048092586760e+01 1.634043398720220921e+03
4.490695256097950505e+01 1.041966996111410992e+02 9.626326921344207221e+02
8.576610541030218826e+01 7.661818685086996084e+01 1.331521400865754231e+03
6.529968924945021058e+01 6.403082102111214624e+01 8.482246171713966305e+02
6.586375064995212369e+01 7.252668684976444524e+01 9.740350336538251668e+02
9.468155875878065331e+01 8.159112885861192410e+01 1.565789126581641312e+03
7.398388884305745705e+01 7.024777644986917835e+01 1.064234131600472665e+03
9.462846791236529498e+01 6.798596998378052092e+01 1.305255615558206955e+03
7.119938251788232719e+01 9.728959526874385233e+01 1.423801522116290244e+03
8.929158763523440712e+01 8.668788913606569224e+01 1.585157452116502554e+03
7.197873809679531121e+01 8.122749196212717493e+01 1.193187756853453493e+03
8.274816712621388604e+01 1.057748108516912566e+02 1.787897891747051062e+03
8.775524094776565676e+01 8.378109134580553530e+01 1.506421696488638645e+03
9.800526856572167844e+01 1.120928897866885308e+02 2.253234817977202511e+03
1.161327134587394028e+02 8.684912805994160578e+01 2.034127955454022413e+03
9.394016168806999190e+01 7.152406400554784227e+01 1.373671641255821896e+03
5.799820928334123948e+01 7.310565186141361949e+01 8.695705769702937005e+02
8.185593813217334969e+01 9.038187551956809784e+01 1.493874501364667594e+03
8.591776306399250984e+01 8.001312762225926178e+01 1.394739022079925689e+03
1.023451014774766037e+02 6.737143506241777402e+01 1.417692911821846792e+03
7.094883201548468321e+01 6.131318315530474905e+01 8.836392887203837745e+02
9.393862910636255492e+01 7.695902131705562965e+01 1.477286829654087342e+03
8.636306008812873358e+01 9.824110085872393938e+01 1.743882750266590847e+03
6.976307026903769781e+01 5.652586912644545691e+01 7.997071287668665036e+02
1.027697174333701753e+02 6.246888786314127628e+01 1.296257253373241383e+03
8.432003512043058890e+01 7.834987281385403435e+01 1.351334998678658621e+03
8.119325244017028353e+01 5.505705174239022881e+01 9.127854349567631971e+02
6.014660476140957002e+01 9.151653584783007034e+01 1.133189680603704119e+03
7.591371226815601858e+01 9.920014720541480813e+01 1.531794109978082361e+03
9.361496380167392317e+01 8.886438622718664249e+01 1.693419538971038492e+03
5.813149474090708679e+01 7.744212593376738596e+01 9.172299371488911675e+02
1.036935367592201374e+02 9.384147231051599647e+01 1.986365521448249865e+03
8.015403986903635314e+01 6.206763888534406703e+01 1.028963143315314255e+03
1.126622733507880412e+02 1.010413749824876817e+02 2.323112936111180261e+03
6.425717189867624768e+01 9.543718569116363426e+01 1.242122637446706221e+03
5.655419464106523719e+01 7.218347160886024483e+01 8.153168574799746011e+02
8.908357329690956306e+01 8.197083410363555345e+01 1.483451253130130453e+03
7.483985448376510874e+01 6.972918662246482313e+01 1.059686515863893192e+03
7.886932529524885638e+01 6.749600573241126256e+01 1.085353342277220236e+03
6.138595375538594823e+01 8.440487807452987568e+01 1.047222088543661357e+03
9.125006918654109711e+01 6.246777591569644983e+01 1.165860773606929342e+03
9.977639216209021811e+01 6.676405701357657563e+01 1.363678364315025192e+03
8.509021294586646889e+01 1.119461306116514834e+02 1.956276696078486566e+03
8.583950805516784044e+01 8.102395971398688346e+01 1.418817620482848270e+03
8.688818260195266419e+01 8.505417498964466461e+01 1.508906789671036677e+03
1.081304190851603551e+02 8.267265974456127253e+01 1.827985450000107448e+03
9.606393615990518242e+01 7.049867901117681868e+01 1.379028730332734995e+03
9.237111176793146683e+01 9.213348676116544311e+01 1.725635612378667929e+03
6.501420372569509709e+01 8.152818512423363018e+01 1.072430921558320961e+03
6.964884555540095334e+01 8.048433093665389038e+01 1.147171869947507048e+03
9.123722024917299223e+01 7.322294557801178883e+01 1.386925672890473834e+03
8.650058642308515289e+01 8.423085095330064576e+01 1.480783618483841565e+03
9.205913222099084692e+01 5.773148790544500741e+01 1.090373544945020740e+03
9.641512637041343226e+01 8.524098062208830129e+01 1.662651535005964661e+03
1.012115839408321989e+02 8.772562759529598964e+01 1.819776650663901819e+03
7.847690930771307194e+01 9.090479792577433216e+01 1.465534074191583159e+03
5.476921261208617864e+01 5.980392745234092189e+01 6.641911149278656694e+02
8.586601959747198975e+01 6.064895093986847741e+01 1.055539445625718599e+03
6.021637677804176292e+01 7.404343506393175289e+01 9.119956560585349052e+02
8.390654043385741545e+01 7.772069707499846913e+01 1.336929514609386160e+03
9.410781041643051026e+01 9.217154770452252421e+01 1.779777224254575231e+03
8.066702342671247550e+01 6.708973247093770453e+01 1.107259570556229846e+03
7.727845809928700760e+01 8.381261396943500586e+01 1.330521114638247127e+03
9.338118425728605132e+01 9.439283288362480562e+01 1.779072750737348997e+03
9.018369414665576755e+01 7.054371844233119759e+01 1.309584751918138181e+03
8.887195714049916262e+01 7.880091544421719618e+01 1.405070144651255760e+03
7.920264662337152117e+01 6.613179168568794353e+01 1.057001859551858615e+03
7.248966377076254730e+01 8.664885374381609040e+01 1.272965326209467548e+03
5.202851959853984454e+01 8.617045645510756913e+01 8.965907857473835065e+02
9.468748998470766765e+01 6.221525219357031489e+01 1.191644048459964552e+03
7.886264439653453451e+01 7.803361481057460480e+01 1.253444963810731224e+03
9.962502826422006308e+01 5.926058584701506504e+01 1.203108776630380589e+03
1.013021273435104632e+02 7.566490989134420886e+01 1.571907450927444188e+03
8.709693124801641773e+01 7.701227452304328835e+01 1.344556435726940208e+03
8.530831746204573562e+01 6.384566584910313480e+01 1.121332374152476177e+03
4.684548631000014751e+01 9.865329835852232065e+01 9.423213961906336635e+02
8.193812228271612241e+01 9.964439580151233145e+01 1.658230560307622909e+03
7.019857457542583745e+01 7.229059783482384205e+01 1.041582917826386620e+03
9.283927695830567473e+01 8.679454612134692582e+01 1.661547724067475883e+03
7.442266373709067295e+01 6.384033852853960411e+01 9.610431541783065086e+02
7.703173399591410941e+01 7.543988460253795836e+01 1.174560751985300840e+03
7.899043113583877584e+01 7.455491020924561951e+01 1.187318788161171597e+03
8.845024766842595909e+01 7.029369911989265063e+01 1.276066250546738502e+03
7.893612458152475142e+01 8.111997143177478620e+01 1.298872049821028440e+03
6.301418862218110917e+01 7.379749109025219411e+01 9.480543283918133284e+02
7.988888805484027955e+01 4.807961775603781973e+01 7.844042381077521213e+02
6.845661441874636921e+01 9.829862580969850683e+01 1.369825831107625618e+03
8.472513366931177359e+01 1.161685402425385973e+02 1.997262174024143405e+03
8.134843087887608704e+01 9.168889350259141224e+01 1.519597874278753807e+03
9.169896939856907636e+01 8.119731975933154899e+01 1.515951204914046912e+03
8.142877287297702082e+01 9.542246281044282341e+01 1.570622240967274593e+03
7.032810734875155845e+01 6.653430651581972199e+01 9.527474620675021697e+02
7.323859626658320110e+01 6.798418812869861938e+01 1.015805389420023403e+03
7.125970319139776166e+01 8.281890037209687705e+01 1.189344659987906653e+03
4.295127578732603979e+01 1.034240918559481202e+02 9.010296236464540698e+02
8.813457223395698747e+01 7.394267712991724295e+01 1.337780950542826531e+03
8.339299010870350060e+01 1.102475284416022703e+02 1.877550196875448137e+03
8.156297106225873961e+01 9.794010050548401125e+01 1.632312040056357773e+03
7.500641725951194871e+01 5.262567354123564201e+01 7.969342603982082665e+02
7.187227182055258368e+01 7.402425043257224502e+01 1.083224365761841909e+03
9.043810146246998727e+01 6.925995863859495216e+01 1.274070939762952548e+03
8.671562431142041305e+01 8.102655048668211180e+01 1.431060050234924347e+03
9.985015580715834460e+01 7.263006492391640734e+01 1.472944181460881282e+03
7.673945035381812829e+01 8.253833861902761271e+01 1.283806605416033108e+03
8.044027377761561581e+01 9.620905417213839428e+01 1.576079550874355164e+03
6.659804378987229256e+01 7.456328614086754669e+01 1.007008427462604345e+03
8.371048506273766066e+01 1.005318495685798865e+02 1.715605149590524434e+03
1.152520909311892865e+02 5.423267707433198126e+01 1.261358135574338803e+03
9.573898755820231088e+01 5.417983345822055696e+01 1.053722301941605565e+03
9.666216911316864469e+01 7.800565565875815821e+01 1.534276619068985838e+03
8.213007632610079156e+01 6.301810883004435482e+01 1.051517741412716987e+03
8.620073593384577748e+01 9.869184404371927144e+01 1.747903961366372187e+03
9.786426737470074499e+01 8.823552328907888409e+01 1.750760908381601439e+03
6.596313365172834153e+01 8.466140012153925909e+01 1.153447894940911283e+03
9.152568684916757036e+01 1.066729950735053620e+02 1.980834841897622482e+03
8.470008328197374681e+01 7.708846445868901753e+01 1.331853371388620417e+03
9.547884549802463994e+01 8.233644948863555157e+01 1.590205315908639022e+03
7.787419888867204065e+01 7.550497359828769106e+01 1.213653345745738761e+03
9.772563472057011325e+01 8.037394118882652094e+01 1.609490205844717366e+03
7.733670647386330188e+01 7.435108258034938444e+01 1.172636135143542106e+03
1.030582146792960714e+02 5.225021125454753701e+01 1.092896355440434036e+03
6.636649399945596883e+01 8.376719624127754571e+01 1.123473471091663214e+03
8.676853504002828288e+01 1.069784521981209338e+02 1.895742369120136345e+03
8.040820445672804340e+01 8.185704091785876813e+01 1.320297273552007255e+03
7.909639472011674854e+01 7.561000953260564472e+01 1.224496802905660388e+03
7.537231626252037131e+01 1.006039035727223734e+02 1.546775843104574733e+03
1.025842500168208318e+02 8.318697925753134825e+01 1.739030346270922792e+03
8.269891391999311736e+01 5.144350421471170876e+01 8.686840812267240608e+02
5.851972691253720882e+01 8.774255177238447345e+01 1.047865208449881038e+03
9.333279734827112861e+01 6.363946481350111384e+01 1.222756299041213651e+03
8.360917849603308127e+01 7.850879150207707369e+01 1.344453088676417110e+03
6.946409928205694939e+01 4.983460404942152167e+01 7.248136795069588061e+02
1.024004110638712177e+02 6.333592085545378580e+01 1.317458491165322357e+03
7.949508781978454408e+01 9.295941830182471222e+01 1.501470665717955853e+03
7.479137604294311359e+01 4.926627617945761983e+01 7.549324777254474839e+02
8.356717830556434023e+01 7.681259760325720265e+01 1.322055131917787321e+03
6.884914829049724005e+01 6.115734149395359509e+01 8.607212605870444122e+02
7.709972344476751971e+01 9.555539677163721990e+01 1.502664041512508220e+03
8.124511866368938229e+01 5.622954586086500228e+01 9.145683617400151206e+02
5.901543421855626548e+01 7.531782244526552006e+01 9.133449732197730100e+02
1.016837637909779062e+02 6.670377607040512657e+01 1.368877025100922992e+03
9.073835675494864006e+01 6.231110506439944174e+01 1.149567841555673340e+03
7.472971871141709244e+01 6.499482977618804114e+01 9.885620690496443785e+02
9.670342369577718955e+01 5.501561397164319089e+01 1.108383161875323594e+03
6.669784815714544379e+01 6.921763368737913424e+01 9.377538098095111536e+02
7.504034234478889687e+01 6.301181751470319625e+01 9.630672209157720545e+02
9.201181230092457497e+01 6.841024763887894267e+01 1.310586228448617703e+03
7.288045704910356903e+01 7.933284083004531340e+01 1.187474564650025286e+03
8.437534600486642944e+01 7.443616024948349263e+01 1.298088874528759334e+03
8.521925878658785791e+01 1.086154862916814210e+02 1.890729885780752056e+03
7.027621231130005697e+01 8.135913537428797326e+01 1.153381276831368723e+03
6.835252986551387266e+01 4.507542141194867469e+01 6.165561372266774924e+02
5.755036081975343620e+01 8.460381838254477316e+01 1.005945348892080233e+03
1.095814150249077414e+02 1.102629310719528632e+02 2.465518427740296374e+03
8.786622357209935785e+01 6.430008233291819408e+01 1.162224651782538558e+03
8.161546547777436444e+01 6.960710792544301739e+01 1.154693139556994311e+03
6.924144717517708614e+01 9.173745337069730965e+01 1.300541162457197743e+03
7.362474940062922713e+01 7.532476222600338644e+01 1.121604903213582475e+03
6.292400902919572303e+01 9.075559163591532297e+01 1.181023020804829457e+03
7.910744158094929901e+01 6.118923084735432383e+01 9.925545267643381067e+02
4.336583110225468118e+01 9.692632709555556403e+01 8.641623991563760683e+02
7.825168510858459570e+01 1.059961539388365281e+02 1.687020704840116650e+03
7.601309028303406023e+01 8.077850594189702349e+01 1.253646132009467692e+03
9.112195993088755586e+01 8.766816043165258066e+01 1.606656619471291833e+03
8.481417762780927205e+01 7.182547659376568561e+01 1.240018700053048633e+03
7.517020527249138695e+01 7.957855280962650113e+01 1.218175880208865465e+03
6.755044976949649538e+01 1.152025990775093760e+02 1.590380403710787050e+03
9.279060180797071666e+01 5.374974215705495340e+01 1.014085629473326208e+03
6.931653791801782916e+01 8.342550738070778493e+01 1.205259287070243317e+03
6.382803731740280995e+01 7.336642178704160244e+01 9.602085772493857121e+02
8.087356723620804644e+01 9.167614873234307993e+01 1.511590804139108286e+03
